Quote Number,Job Type Number,Customer,Email,Vehicle Registration Number,Vehicle Fleet Number,Vehicle Make,Vehicle Model,Issue Date,Due Date,Description,Category,Details,Unit Price,Quantity,Discount Percentage,Net Amount,Tax Amount,Total Amount,Taxable,Stock Number,Stock Name,Stock Category,Unit Cost,COGS,Inventory Asset Account Code,Inventory Asset Account Name,Sales Account Code,Sales Account Name,Salesperson,Created At,Updated At
10004,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,RIG28,,,08/12/2022,,LVF - Light vehicle strip fit and balance,Labour & Services,Strip,16.5,5.0,"",82.5,8.25,90.75,Y,LVF,Light Vehicle Fit/ Strip/ Balance,Labour & Services,0.0,,,,,0.0,"",08/12/2022 06:02,08/12/2022 06:02
10004,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,RIG28,,,08/12/2022,,SCRAP - Recycle charge Truck tyres,Labour & Services,"",30.0,1.0,"",30.0,3.0,33.0,Y,SCRAP,Recycle charge,Labour & Services,0.0,,,,,0.0,"",08/12/2022 06:03,08/12/2022 06:03
10004,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,RIG28,,,08/12/2022,,SCRAP - Recycle charge 4WD tyres,Labour & Services,"",9.4,5.0,"",47.0,4.7,51.7,Y,SCRAP,Recycle charge,Labour & Services,0.0,,,,,0.0,"",08/12/2022 06:04,08/12/2022 06:04
10005,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,08/12/2022,,704801 - 265/65R17LT BS D697 AT OWT 116S 4WD; A/T,4WD Tyres,"",383.0,2.0,"",766.0,76.6,842.6,Y,11000919,265/65R17LT 116S D697 OWT B/STONE,4WD Tyres,277.47,,,,,554.94,"",08/12/2022 06:16,25/05/2023 08:38
10005,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,08/12/2022,,LVF - Light vehicle strip fit and balance,Labour & Services,Strip,16.5,2.0,"",33.0,3.3,36.3,Y,LVF,Light Vehicle Fit/ Strip/ Balance,Labour & Services,0.0,,,,,0.0,"",08/12/2022 06:16,08/12/2022 06:16
10005,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,08/12/2022,,SCRAP - Recycle charge 4wd tyres,Labour & Services,"",9.4,2.0,"",18.8,1.88,20.68,Y,SCRAP,Recycle charge,Labour & Services,0.0,,,,,0.0,"",08/12/2022 06:17,08/12/2022 06:17
10006,,Saxon Energy Service Australia pty ltd,saxonap@savannaenergy.com,,,,,09/12/2022,,LAB - Tyre fitter labour charge per hour,Labour & Services,"",100.0,7.0,"",700.0,70.0,770.0,Y,LAB,Tyre Fitter Labour,Labour & Services,0.0,,,,,0.0,"",09/12/2022 11:25,09/12/2022 11:25
10006,,Saxon Energy Service Australia pty ltd,saxonap@savannaenergy.com,,,,,09/12/2022,,"115355 - 25"" THIN ORING",Tools,ORING,13.64,2.0,"",27.28,2.728,30.008,Y,115355,"25"" THIN ORING",Tools,4.55,,,,,9.1,"",09/12/2022 11:25,09/12/2022 11:25
10006,,Saxon Energy Service Australia pty ltd,saxonap@savannaenergy.com,,,,,09/12/2022,,TRAVEL - Travel per Kilometer,Travel Expense,"",2.1,420.0,"",882.0,88.2,970.2,Y,TRAVEL,Travel per Kilometer,Travel Expense,0.0,,,,,0.0,"",09/12/2022 11:27,09/12/2022 11:27
10006,,Saxon Energy Service Australia pty ltd,saxonap@savannaenergy.com,,,,,09/12/2022,,Rounding to 5c,,"",-0.01,1.0,"",-0.01,0,-0.01,Y,,,,0.0,,,,,0.0,"",13/12/2022 18:37,13/12/2022 18:37
10007,,JTM CONTRACTING,jnmayes@bigpond.com,,,,,12/12/2022,,2723900 - 275/65R20LT Pir Scorpion AT+ 126S OWL,4WD Tyres,"",550.0,2.0,"",1100.0,110.0,1210.0,Y,2723900,275/65R20LT Pir Scorpion AT+ 126S OWL,4WD Tyres,396.33,,,,,792.66,"",12/12/2022 14:51,12/12/2022 14:51
10007,,JTM CONTRACTING,jnmayes@bigpond.com,,,,,12/12/2022,,LVF - Light vehicle strip fit and balance,Labour & Services,Strip,16.5,2.0,"",33.0,3.3,36.3,Y,LVF,Light Vehicle Fit/ Strip/ Balance,Labour & Services,0.0,,,,,0.0,"",12/12/2022 14:51,12/12/2022 14:51
10007,,JTM CONTRACTING,jnmayes@bigpond.com,,,,,12/12/2022,,SCRAP - Recycle charge,Labour & Services,"",9.4,2.0,"",18.8,1.88,20.68,Y,SCRAP,Recycle charge,Labour & Services,0.0,,,,,0.0,"",12/12/2022 14:53,12/12/2022 14:53
10009,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",219ZKT,"",TOYOTA,HILUX,15/12/2022,,704801 - 265/65R17LT BS D697 AT OWT 116S 4WD; A/T,4WD Tyres,"",383.0,5.0,"",1915.0,191.5,2106.5,Y,11000919,265/65R17LT 116S D697 OWT B/STONE,4WD Tyres,277.47,,,,,1387.35,"",15/12/2022 08:10,25/05/2023 08:38
10009,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",219ZKT,"",TOYOTA,HILUX,15/12/2022,,35657 - 275/70 R22.5 GL283A ADVANCE ALL/P 144/141M,Truck Tyres,27570225,445.0,1.0,"",445.0,44.5,489.5,Y,35657,275/70 R22.5 GL283A ADVANCE ALL/P 144/141M,Truck Tyres,332.0,,,,,332.0,"",15/12/2022 08:10,15/12/2022 08:10
10009,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",219ZKT,"",TOYOTA,HILUX,15/12/2022,,LVF - Light vehicle strip fit and balance,Labour & Services,Strip,16.5,6.0,"",99.0,9.9,108.9,Y,LVF,Light Vehicle Fit/ Strip/ Balance,Labour & Services,0.0,,,,,0.0,"",15/12/2022 08:10,15/12/2022 08:10
10009,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",219ZKT,"",TOYOTA,HILUX,15/12/2022,,SCRAP - Recycle charge 4WD,Labour & Services,"",9.4,6.0,"",56.4,5.64,62.04,Y,SCRAP,Recycle charge,Labour & Services,0.0,,,,,0.0,"",15/12/2022 08:10,15/12/2022 08:10
10009,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",219ZKT,"",TOYOTA,HILUX,15/12/2022,,SCRAPTT - Recycle Truck Tyres,Labour & Services,"",30.0,1.0,"",30.0,3.0,33.0,Y,SCRAPTT,Recycle Truck Tyres,Labour & Services,0.0,,,,,0.0,"",15/12/2022 08:10,15/12/2022 08:10
10009,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",219ZKT,"",TOYOTA,HILUX,15/12/2022,,TFIT - Truck tyre fitting,Labour & Services,"",33.0,1.0,"",33.0,3.3,36.3,Y,TFIT,Truck Tyre Fit & Strip,Labour & Services,0.0,,,,,0.0,"",15/12/2022 08:10,15/12/2022 08:10
10009,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",219ZKT,"",TOYOTA,HILUX,15/12/2022,,Rounding to 5c,,"",0.01,1.0,"",0.01,0,0.01,Y,,,,0.0,,,,,0.0,"",15/12/2022 08:10,15/12/2022 08:10
10010,,MPC KINETIC,adam.parker@mpckinetic.com,,,,,15/12/2022,,AR1581103 - 11R22.5 ARIVO ARA1 146/143M ALL PURPOSE,Truck Tyres,11225,350.0,1.0,"",350.0,35.0,385.0,Y,AR1581103,11R22.5 ARIVO ARA1 146/143M ALL PURPOSE ARIVO,Truck Tyres,240.0,,,,,240.0,"",15/12/2022 11:49,15/12/2022 11:49
10010,,MPC KINETIC,adam.parker@mpckinetic.com,,,,,15/12/2022,,TFIT - Truck tyre fitting,Labour & Services,"",33.0,1.0,"",33.0,3.3,36.3,Y,TFIT,Truck Tyre Fit & Strip,Labour & Services,0.0,,,,,0.0,"",15/12/2022 11:49,15/12/2022 11:49
10011,,Saxon Energy Service Australia pty ltd,saxonap@savannaenergy.com,,,,,28/12/2022,,EMR - Earthmover repair,Labour & Services,"",100.0,1.0,"",100.0,10.0,110.0,Y,EMR,Earthmover Repair,Labour & Services,0.0,,,,,0.0,"",28/12/2022 18:38,28/12/2022 18:39
10011,,Saxon Energy Service Australia pty ltd,saxonap@savannaenergy.com,,,,,28/12/2022,,"115355 - 25"" THIN ORING",Tools,ORING,13.64,1.0,"",13.64,1.364,15.004,Y,115355,"25"" THIN ORING",Tools,4.55,,,,,4.55,"",28/12/2022 18:38,28/12/2022 18:39
10011,,Saxon Energy Service Australia pty ltd,saxonap@savannaenergy.com,,,,,28/12/2022,,EMS - Strip and Fit earthmover/tractor tyre,Labour & Services,"",80.0,1.0,"",80.0,8.0,88.0,Y,EMS,Earthmover Fit & Strip,Labour & Services,0.0,,,,,0.0,"",28/12/2022 18:39,28/12/2022 18:39
10011,,Saxon Energy Service Australia pty ltd,saxonap@savannaenergy.com,,,,,28/12/2022,,35657 - 275/70 R22.5 GL283A ADVANCE ALL/P 144/141M,Truck Tyres,27570225,450.0,1.0,"",450.0,45.0,495.0,Y,35657,275/70 R22.5 GL283A ADVANCE ALL/P 144/141M,Truck Tyres,332.0,,,,,332.0,"",28/12/2022 18:38,28/12/2022 18:39
10011,,Saxon Energy Service Australia pty ltd,saxonap@savannaenergy.com,,,,,28/12/2022,,TFIT - Truck tyre fitting,Labour & Services,"",33.0,1.0,"",33.0,3.3,36.3,Y,TFIT,Truck Tyre Fit & Strip,Labour & Services,0.0,,,,,0.0,"",28/12/2022 18:38,28/12/2022 18:39
10012,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,30/12/2022,,35657 - 275/70 R22.5 GL283A ADVANCE ALL/P 144/141M,Truck Tyres,27570225,450.0,4.0,"",1800.0,180.0,1980.0,Y,35657,275/70 R22.5 GL283A ADVANCE ALL/P 144/141M,Truck Tyres,332.0,,,,,1328.0,"",30/12/2022 07:54,30/12/2022 07:54
10012,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,30/12/2022,,TFIT - Truck tyre fitting,Labour & Services,"",33.0,4.0,"",132.0,13.2,145.2,Y,TFIT,Truck Tyre Fit & Strip,Labour & Services,0.0,,,,,0.0,"",30/12/2022 07:54,30/12/2022 07:54
10012,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,30/12/2022,,SCRAPTT - Recycle Truck Tyres,Labour & Services,"",30.0,4.0,"",120.0,12.0,132.0,Y,SCRAPTT,Recycle Truck Tyres,Labour & Services,0.0,,,,,0.0,"",30/12/2022 07:54,30/12/2022 07:54
10013,,Saxon Energy Service Australia pty ltd,saxonap@savannaenergy.com,,,,,31/12/2022,,704587 - 225/75R16 B/STONE D697,4WD Tyres,2257516,450.0,4.0,"",1800.0,180.0,1980.0,Y,704587,225/75R16 D697 B/STONE,4WD Tyres,268.68,,,,,1074.72,"",31/12/2022 07:24,31/12/2022 07:24
10013,,Saxon Energy Service Australia pty ltd,saxonap@savannaenergy.com,,,,,31/12/2022,,WA - Wheel allignment,Labour & Services,"",90.0,1.0,"",90.0,9.0,99.0,Y,WA,Wheel Alignment,Labour & Services,0.0,,,,,0.0,"",31/12/2022 07:24,31/12/2022 07:24
10013,,Saxon Energy Service Australia pty ltd,saxonap@savannaenergy.com,,,,,31/12/2022,,LVF - Light vehicle strip fit and balance,Labour & Services,Strip,16.5,4.0,"",66.0,6.6,72.6,Y,LVF,Light Vehicle Fit/ Strip/ Balance,Labour & Services,0.0,,,,,0.0,"",31/12/2022 07:24,31/12/2022 07:24
10013,,Saxon Energy Service Australia pty ltd,saxonap@savannaenergy.com,,,,,31/12/2022,,SCRAP - Recycle charge,Labour & Services,"",9.4,4.0,"",37.6,3.76,41.36,Y,SCRAP,Recycle charge,Labour & Services,0.0,,,,,0.0,"",31/12/2022 07:25,31/12/2022 07:25
10013,,Saxon Energy Service Australia pty ltd,saxonap@savannaenergy.com,,,,,31/12/2022,,Rounding to 5c,,"",-0.01,1.0,"",-0.01,0,-0.01,Y,,,,0.0,,,,,0.0,"",16/01/2023 11:04,16/01/2023 11:04
10014,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,04/01/2023,,TTR - Truck Tyre Repair,Labour & Services,"",66.95,1.0,"",66.95,6.695,73.645,Y,TTR,Truck Tyre Repair,Labour & Services,0.0,,,,,0.0,"",04/01/2023 10:47,04/01/2023 10:47
10015,,mac,"",MAC054,"","","",04/01/2023,,5240BT - 225/55R16 BOTO H8 95W,Car Tyres,2255516,145.0,2.0,"",290.0,29.0,319.0,Y,5240BT,225/55R16 H8 95W BOTO,Car Tyres,70.0,,,,,140.0,"",04/01/2023 15:40,04/01/2023 15:40
10015,,mac,"",MAC054,"","","",04/01/2023,,WA - Wheel allignment,Labour & Services,"",80.0,1.0,"",80.0,8.0,88.0,Y,WA,Wheel Alignment,Labour & Services,0.0,,,,,0.0,"",04/01/2023 15:40,04/01/2023 15:40
10015,,mac,"",MAC054,"","","",04/01/2023,,LVF - Light vehicle strip fit and balance,Labour & Services,Strip,16.5,2.0,"",33.0,3.3,36.3,Y,LVF,Light Vehicle Fit/ Strip/ Balance,Labour & Services,0.0,,,,,0.0,"",04/01/2023 15:40,04/01/2023 15:40
10015,,mac,"",MAC054,"","","",04/01/2023,,SCRAP - Recycle charge,Labour & Services,"",9.4,2.0,"",18.8,1.88,20.68,Y,SCRAP,Recycle charge,Labour & Services,0.0,,,,,0.0,"",04/01/2023 15:41,04/01/2023 15:41
10015,,mac,"",MAC054,"","","",04/01/2023,,Rounding to 5c,,"",0.02,1.0,"",0.02,0,0.02,Y,,,,0.0,,,,,0.0,"",04/01/2023 15:41,04/01/2023 15:41
10017,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,06/01/2023,,1309BT - 11R22.5 BOTO BT159 148/145 K DEEP TREAD DRIVE,Truck Tyres,11225,540.0,4.0,"",2160.0,216.0,2376.0,Y,1309BT,11R22.5 BT159 148/145 K DEEP TREAD DRIVE BOTO,Truck Tyres,379.0,,,,,1516.0,"",06/01/2023 19:00,06/01/2023 19:00
10017,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,06/01/2023,,TFIT - Truck tyre fitting,Labour & Services,"",33.0,4.0,"",132.0,13.2,145.2,Y,TFIT,Truck Tyre Fit & Strip,Labour & Services,0.0,,,,,0.0,"",06/01/2023 19:00,06/01/2023 19:00
10017,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,06/01/2023,,SCRAPTT - Recycle Truck Tyres,Labour & Services,"",30.0,4.0,"",120.0,12.0,132.0,Y,SCRAPTT,Recycle Truck Tyres,Labour & Services,0.0,,,,,0.0,"",06/01/2023 19:01,06/01/2023 19:01
10018,,Trent Horrocks,emilyjg95@outlook.com,,,,,07/01/2023,,B1843813125T - 18.4-38 (12) TR-135 (R-1) BKT,,"",1590.9091,1.0,"",1590.9091,159.0909,1750.0,Y,B1843813125T,18.4-38 (12) TR-135 (R-1) BKT,,1320.0,,,,,1320.0,"",07/01/2023 11:46,07/01/2023 11:46
10019,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,07/01/2023,,GY537102 - 265/65R17 GOODYEAR WRANGLER A/T ADV 112T,4WD Tyres,2656517,370.0,5.0,"",1850.0,185.0,2035.0,Y,GY537102,265/65R17 WRANGLER A/T ADV 112T GOODYEAR,4WD Tyres,211.15,,,,,1055.75,"",07/01/2023 15:49,07/01/2023 15:49
10019,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,07/01/2023,,LVF - Light vehicle strip fit and balance,Labour & Services,Strip,18.0,5.0,"",90.0,9.0,99.0,Y,LVF,Light Vehicle Fit/ Strip/ Balance,Labour & Services,0.0,,,,,0.0,"",07/01/2023 15:49,07/01/2023 15:50
10019,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,07/01/2023,,SCRAP - Recycle charge,Labour & Services,"",9.4,5.0,"",47.0,4.7,51.7,Y,SCRAP,Recycle charge,Labour & Services,0.0,,,,,0.0,"",07/01/2023 15:50,07/01/2023 15:50
10020,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,14/01/2023,,35255 - 255/70 R22.5 DOUBLE COIN RT500  140/137N,Truck Tyres,25570225,427.2727,1.0,"",427.2727,42.7273,470.0,Y,35255,255/70R22.5 RT500 140/137N DOUBLECOIN,Truck Tyres,306.0,,,,,306.0,"",14/01/2023 08:08,14/01/2023 08:08
10020,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,14/01/2023,,TFIT - Truck tyre fitting,Labour & Services,"",33.0,1.0,"",33.0,3.3,36.3,Y,TFIT,Truck Tyre Fit & Strip,Labour & Services,0.0,,,,,0.0,"",14/01/2023 08:08,14/01/2023 08:08
10020,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,14/01/2023,,SCRAPTT - Recycle Truck Tyres,Labour & Services,"",30.0,1.0,"",30.0,3.0,33.0,Y,SCRAPTT,Recycle Truck Tyres,Labour & Services,0.0,,,,,0.0,"",14/01/2023 08:08,14/01/2023 08:08
10020,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,14/01/2023,,704801 - 265/65R17LT BS D697 AT OWT 116S 4WD; A/T,4WD Tyres,"",383.0,4.0,"",1532.0,153.2,1685.2,Y,11000919,265/65R17LT 116S D697 OWT B/STONE,4WD Tyres,277.47,,,,,1109.88,"",21/01/2023 13:52,25/05/2023 08:38
10020,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,14/01/2023,,LVF - Light vehicle strip fit and balance,Labour & Services,Strip,16.5,4.0,"",66.0,6.6,72.6,Y,LVF,Light Vehicle Fit/ Strip/ Balance,Labour & Services,0.0,,,,,0.0,"",21/01/2023 13:52,21/01/2023 13:52
10020,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,14/01/2023,,SCRAP - Recycle charge,Labour & Services,"",9.4,8.0,"",75.2,7.52,82.72,Y,SCRAP,Recycle charge,Labour & Services,0.0,,,,,0.0,"",21/01/2023 13:52,21/01/2023 13:52
10020,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,,,,14/01/2023,,WA - Wheel allignment,Labour & Services,"",90.0,1.0,"",90.0,9.0,99.0,Y,WA,Wheel Alignment,Labour & Services,0.0,,,,,0.0,"",21/01/2023 13:53,21/01/2023 13:53
10021,,GRS Gransolar Construction Australia pty ltd,ocr@gransolar.com,751EF7,eci356,Ford,Ranger,16/01/2023,,100A3712 - 255/70R16 GITI AT70 111T RWL A/T,4WD Tyres,2557016,330.0,2.0,"",660.0,66.0,726.0,Y,100A3712,255/70R16 AT70 111T RWL A/T  GITI,4WD Tyres,241.96,,,,,483.92,"",16/01/2023 10:28,16/01/2023 10:28
10021,,GRS Gransolar Construction Australia pty ltd,ocr@gransolar.com,751EF7,eci356,Ford,Ranger,16/01/2023,,WA - Wheel allignment,Labour & Services,"",90.0,1.0,"",90.0,9.0,99.0,Y,WA,Wheel Alignment,Labour & Services,0.0,,,,,0.0,"",16/01/2023 10:29,16/01/2023 10:29
10021,,GRS Gransolar Construction Australia pty ltd,ocr@gransolar.com,751EF7,eci356,Ford,Ranger,16/01/2023,,SCRAP - Recycle charge,Labour & Services,"",9.4,2.0,"",18.8,1.88,20.68,Y,SCRAP,Recycle charge,Labour & Services,0.0,,,,,0.0,"",16/01/2023 10:29,16/01/2023 10:29
10021,,GRS Gransolar Construction Australia pty ltd,ocr@gransolar.com,751EF7,eci356,Ford,Ranger,16/01/2023,,Rounding to 5c,,"",0.02,1.0,"",0.02,0,0.02,Y,,,,0.0,,,,,0.0,"",16/01/2023 10:29,16/01/2023 10:29
10022,,Bellwether,john.walsh@bellwether.com.au,,,Toyota,LandCruiser Prado,20/01/2023,,GL2656018114H - 265/60R18 Greenlander Maho 114H AT,4WD Tyres,"",250.0,4.0,"",1000.0,100.0,1100.0,Y,GL2656018114H,265/60R18 MAHO 114H AT GREENLANDER,4WD Tyres,50.0,,,,,200.0,"",20/01/2023 10:29,20/01/2023 10:29
10022,,Bellwether,john.walsh@bellwether.com.au,,,Toyota,LandCruiser Prado,20/01/2023,,LVF - Light vehicle strip fit and balance,Labour & Services,Strip,16.5,4.0,"",66.0,6.6,72.6,Y,LVF,Light Vehicle Fit/ Strip/ Balance,Labour & Services,0.0,,,,,0.0,"",20/01/2023 10:29,20/01/2023 10:29
10022,,Bellwether,john.walsh@bellwether.com.au,,,Toyota,LandCruiser Prado,20/01/2023,,SCRAP - Recycle charge,Labour & Services,"",9.4,4.0,"",37.6,3.76,41.36,Y,SCRAP,Recycle charge,Labour & Services,0.0,,,,,0.0,"",20/01/2023 10:29,20/01/2023 10:29
10022,,Bellwether,john.walsh@bellwether.com.au,,,Toyota,LandCruiser Prado,20/01/2023,,Rounding to 5c,,"",-0.01,1.0,"",-0.01,0,-0.01,Y,,,,0.0,,,,,0.0,"",20/01/2023 10:32,20/01/2023 10:32
10023,,Saxon Energy Service Australia pty ltd,saxonap@savannaenergy.com,,,,,24/01/2023,,789819 - 255/70R17LT BFG TA AT KO2 121S RBL,4WD Tyres,"",450.0,1.0,"",450.0,45.0,495.0,Y,789819,255/70R17LT BFG TA AT KO2 121S RBL,4WD Tyres,376.23,,,,,376.23,"",24/01/2023 12:30,24/01/2023 12:30
10023,,Saxon Energy Service Australia pty ltd,saxonap@savannaenergy.com,,,,,24/01/2023,,LVF - Light vehicle strip fit and balance,Labour & Services,Strip,16.5,1.0,"",16.5,1.65,18.15,Y,LVF,Light Vehicle Fit/ Strip/ Balance,Labour & Services,0.0,,,,,0.0,"",24/01/2023 12:30,24/01/2023 12:30
10023,,Saxon Energy Service Australia pty ltd,saxonap@savannaenergy.com,,,,,24/01/2023,,SCRAP - Recycle charge,Labour & Services,"",9.4,1.0,"",9.4,0.94,10.34,Y,SCRAP,Recycle charge,Labour & Services,0.0,,,,,0.0,"",24/01/2023 12:30,24/01/2023 12:30
10023,,Saxon Energy Service Australia pty ltd,saxonap@savannaenergy.com,,,,,24/01/2023,,Rounding to 5c,,"",0.01,1.0,"",0.01,0,0.01,Y,,,,0.0,,,,,0.0,"",24/01/2023 12:30,24/01/2023 12:30
10025,,Luke,r28rigmanager@ventia.com,,,,,31/01/2023,,WA - Wheel allignment,Labour & Services,"",90.0,1.0,"",90.0,9.0,99.0,Y,WA,Wheel Alignment,Labour & Services,0.0,,,,,0.0,"",31/01/2023 09:28,31/01/2023 09:28
10026,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",080YYW,,Toyota ,hilux ,31/01/2023,,WA - Wheel allignment,Labour & Services,"",90.0,1.0,"",90.0,9.0,99.0,Y,WA,Wheel Alignment,Labour & Services,0.0,,,,,0.0,"",31/01/2023 10:48,31/01/2023 10:48
10026,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",080YYW,,Toyota ,hilux ,31/01/2023,,704801 - 265/65R17LT BS D697 AT OWT 116S 4WD; A/T,4WD Tyres,"",383.0,4.0,"",1532.0,153.2,1685.2,Y,11000919,265/65R17LT 116S D697 OWT B/STONE,4WD Tyres,277.47,,,,,1109.88,"",31/01/2023 10:49,25/05/2023 08:38
10026,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",080YYW,,Toyota ,hilux ,31/01/2023,,LVF - Light vehicle strip fit and balance,Labour & Services,Strip,16.5,4.0,"",66.0,6.6,72.6,Y,LVF,Light Vehicle Fit/ Strip/ Balance,Labour & Services,0.0,,,,,0.0,"",31/01/2023 10:49,31/01/2023 10:49
