Bill Number,Reference,Supplier,Supplier Acc. No,Supplier Tags,Biller,Date,Due Date,Amount,Paid Amount,Due Amount,Created At,Finalized,Finalized By,Related PO,Tags,Notes
20008,ES922760,TYRES 4U,"","",TYRES 4U,2022-11-30 13:04:33 +1000,2023-01-31 13:04:33 +1000,1280.84,1280.84,0.0,2022-12-01 13:05:36 +1000,Y,Troy,"","",""
20009,ES922761,TYRES 4U,"","",TYRES 4U,2022-11-30 13:07:14 +1000,2023-01-31 13:07:14 +1000,1608.86,1608.86,0.0,2022-12-01 13:07:55 +1000,Y,Troy,"","",""
20010,1607032,TOP TYRES AUSTRAILIA PTY LTD,"","",TOP TYRES AUSTRAILIA PTY LTD,2022-11-30 14:36:36 +1000,2022-12-30 14:36:36 +1000,277.2,277.2,0.0,2022-12-01 14:39:29 +1000,Y,Troy,"","",""
20011,3940340706,REPCO AUTO PARTS,"","",REPCO AUTO PARTS,2022-12-01 10:48:08 +1000,2023-01-31 10:48:08 +1000,15.13,15.13,0.0,2022-12-02 10:48:40 +1000,Y,Troy,"","",""
20012,ES921434,TYRES 4U,"","",TYRES 4U,2022-12-01 10:52:38 +1000,2023-02-28 10:52:38 +1000,3025.0,3025.0,0.0,2022-12-02 10:53:33 +1000,Y,Troy,"","",""
20013,ES922482,TYRES 4U,"","",TYRES 4U,2022-12-01 10:54:25 +1000,2023-02-28 10:54:25 +1000,2116.71,2116.71,0.0,2022-12-02 10:54:47 +1000,Y,Troy,"","",""
20014,ES922838,TYRES 4U,"","",TYRES 4U,2022-12-01 10:55:31 +1000,2023-02-28 10:55:31 +1000,261.36,261.36,0.0,2022-12-02 10:56:00 +1000,Y,Troy,"","",""
20015,ES921959,TYRES 4U,"","",TYRES 4U,2022-12-01 10:57:45 +1000,2023-02-28 10:57:45 +1000,1993.2,1993.2,0.0,2022-12-02 10:58:13 +1000,Y,Troy,"","",""
20016,ES922864,TYRES 4U,"","",TYRES 4U,2022-12-01 10:59:45 +1000,2023-02-28 10:59:45 +1000,574.86,574.86,0.0,2022-12-02 11:00:12 +1000,Y,Troy,"","",""
20017,1709002,NETA TIRE SERVICE & SALES P/L,"","",NETA TIRE SERVICE & SALES P/L,2022-11-18 18:56:06 +1000,2022-12-31 18:56:06 +1000,1364.0,1364.0,0.0,2022-12-02 18:57:47 +1000,Y,Troy,"","",""
20018,1708980,NETA TIRE SERVICE & SALES P/L,"","",NETA TIRE SERVICE & SALES P/L,2022-11-18 18:59:46 +1000,2022-12-31 18:59:46 +1000,554.4,554.4,0.0,2022-12-02 19:00:19 +1000,Y,Troy,"","",""
20019,SO500028,TYRES 4U,"","",TYRES 4U,2022-12-02 19:02:54 +1000,2023-02-28 19:02:54 +1000,407.0,407.0,0.0,2022-12-02 19:03:27 +1000,Y,Troy,"","",""
20020,ES917947,TYRES 4U,"","",TYRES 4U,2022-11-04 19:08:03 +1000,2023-01-31 19:08:03 +1000,166.32,166.32,0.0,2022-12-02 19:08:49 +1000,Y,Troy,"","",""
20021,ES918545,TYRES 4U,"","",TYRES 4U,2022-11-04 19:09:37 +1000,2022-12-04 19:09:37 +1000,1564.68,1564.68,0.0,2022-12-02 19:10:06 +1000,Y,Troy,"","",""
20022,ES917699,TYRES 4U,"","",TYRES 4U,2022-11-01 19:11:11 +1000,2023-01-31 19:11:11 +1000,326.7,326.7,0.0,2022-12-02 19:11:53 +1000,Y,Troy,"","",""
20023,88569333,Bridgestone Australia,"","",Bridgestone Australia,2022-10-21 19:29:28 +1000,2022-11-30 19:29:28 +1000,2251.39,2251.39,0.0,2022-12-02 19:30:05 +1000,Y,Troy,"","",""
20024,88592428,Bridgestone Australia,"","",Bridgestone Australia,2022-10-26 19:32:55 +1000,2022-11-30 19:32:55 +1000,563.99,563.99,0.0,2022-12-02 19:34:24 +1000,Y,Troy,"","",""
20025,10861327,EXCLUSIVE TYRES,"","",EXCLUSIVE TYRES,2022-11-11 19:47:32 +1000,2022-12-31 19:47:32 +1000,1012.0,1012.0,0.0,2022-12-02 19:48:43 +1000,Y,Troy,"","",""
20027,1605459,TOP TYRES AUSTRAILIA PTY LTD,"","",TOP TYRES AUSTRAILIA PTY LTD,2022-11-23 00:00:00 +1000,2022-12-23 00:00:00 +1000,272.8,272.8,0.0,2022-12-05 06:55:30 +1000,Y,Troy,"","",""
20028,04073497,FREEDOM TYRES,"","",FREEDOM TYRES,2022-11-09 11:13:52 +1000,2022-12-31 11:13:52 +1000,714.34,714.34,0.0,2022-12-06 11:14:24 +1000,Y,Troy,"","",""
20029,3940338856,REPCO AUTO PARTS,"","",REPCO AUTO PARTS,2022-11-14 10:39:07 +1000,2022-12-31 10:39:07 +1000,113.28,113.28,0.0,2022-12-07 10:39:59 +1000,Y,Troy,"","",""
20030,3940337940,REPCO AUTO PARTS,"","",REPCO AUTO PARTS,2022-11-04 10:42:00 +1000,2022-12-31 10:42:00 +1000,541.77,541.77,0.0,2022-12-07 10:42:26 +1000,Y,Troy,"","",""
20031,N102490600,MX Store,378949,"",MX Store,2022-12-08 11:45:51 +1000,2022-12-08 11:45:51 +1000,99.95,99.95,0.0,2022-12-08 11:46:12 +1000,Y,Troy,"","",""
20032,221221766,Toyo Tyre Australia pty ltd,"","",Toyo Tyre Australia pty ltd,2022-11-17 15:53:41 +1000,2022-12-31 15:53:41 +1000,1124.2,1124.2,0.0,2022-12-08 15:54:10 +1000,Y,Troy,"","",""
20033,00008926,TECHKING AUSTRALIA,"","",TECHKING AUSTRALIA,2022-11-10 15:56:13 +1000,2022-12-31 15:56:13 +1000,2631.2,2631.2,0.0,2022-12-08 15:56:48 +1000,Y,Troy,"","",""
20034,ES924004,TYRES 4U,"","",TYRES 4U,2022-12-07 15:58:50 +1000,2023-02-28 15:58:50 +1000,1232.48,1232.48,0.0,2022-12-08 15:59:19 +1000,Y,Troy,"","",""
20035,SI5142,ENIRGI POWER STORAGE PTY LTD,"","",ENIRGI POWER STORAGE PTY LTD,2022-12-08 16:03:01 +1000,2023-01-25 16:03:01 +1000,1234.39,1234.39,0.0,2022-12-08 16:03:42 +1000,Y,Troy,"","",""
20036,UN2595,Savcom,"","",Savcom,2022-11-14 16:06:05 +1000,2022-12-25 16:06:05 +1000,253.0,253.0,0.0,2022-12-08 16:06:30 +1000,Y,Troy,"","",""
20038,TW42-0000258513,BSC MOTION TECHNOLOGY,"","",BSC MOTION TECHNOLOGY,2022-11-21 16:37:56 +1000,2022-12-31 16:37:56 +1000,63.68,63.68,0.0,2022-12-08 16:38:39 +1000,Y,Troy,"","",""
20039,VS451468,TYRES 4U,"","",TYRES 4U,2022-12-06 16:40:17 +1000,2023-02-28 16:40:17 +1000,9177.17,9177.17,0.0,2022-12-08 16:40:42 +1000,Y,Troy,"","",""
20040,ES923557,TYRES 4U,"","",TYRES 4U,2022-12-06 16:44:16 +1000,2023-02-28 16:44:16 +1000,231.66,231.66,0.0,2022-12-08 16:44:38 +1000,Y,Troy,"","",""
20041,ES924275,TYRES 4U,"","",TYRES 4U,2022-12-08 17:03:55 +1000,2023-02-28 17:03:55 +1000,1823.97,1823.97,0.0,2022-12-08 17:04:16 +1000,Y,Nicola Wise,"","",""
20042,ES924277,TYRES 4U,"","",TYRES 4U,2022-12-08 17:04:41 +1000,2023-02-28 17:04:41 +1000,1823.97,1823.97,0.0,2022-12-08 17:04:57 +1000,Y,Nicola Wise,"","",""
20043,ES924175,TYRES 4U,"","",TYRES 4U,2022-12-08 17:05:15 +1000,2023-02-28 17:05:15 +1000,215.6,215.6,0.0,2022-12-08 17:05:27 +1000,Y,Nicola Wise,"","",""
20044,ES924276,TYRES 4U,"","",TYRES 4U,2022-12-08 17:06:03 +1000,2023-02-28 17:06:03 +1000,1932.92,1932.92,0.0,2022-12-08 17:06:21 +1000,Y,Nicola Wise,"","",""
20045,ES924278,TYRES 4U,"","",TYRES 4U,2022-12-08 17:06:44 +1000,2023-02-28 17:06:44 +1000,1702.36,1702.36,0.0,2022-12-08 17:07:18 +1000,Y,Nicola Wise,"","",""
20046,ES924270,TYRES 4U,"","",TYRES 4U,2022-12-08 17:07:33 +1000,2023-02-28 17:07:33 +1000,865.63,865.63,0.0,2022-12-08 17:07:46 +1000,Y,Nicola Wise,"","",""
20047,ES924212,TYRES 4U,"","",TYRES 4U,2022-12-08 17:08:06 +1000,2023-02-28 17:08:06 +1000,167.2,167.2,0.0,2022-12-08 17:08:17 +1000,Y,Nicola Wise,"","",""
20048,ES924272,TYRES 4U,"","",TYRES 4U,2022-12-08 17:09:06 +1000,2023-02-28 17:09:06 +1000,1823.97,1823.97,0.0,2022-12-08 17:09:20 +1000,Y,Nicola Wise,"","",""
20049,ES924274,TYRES 4U,"","",TYRES 4U,2022-12-08 17:09:37 +1000,2023-02-28 17:09:37 +1000,773.17,773.17,0.0,2022-12-08 17:09:51 +1000,Y,Nicola Wise,"","",""
20050,ES924273,TYRES 4U,"","",TYRES 4U,2022-12-08 17:10:06 +1000,2023-02-28 17:10:06 +1000,2553.55,2553.55,0.0,2022-12-08 17:10:20 +1000,Y,Nicola Wise,"","",""
20051,ES924269,TYRES 4U,"","",TYRES 4U,2022-12-08 17:10:40 +1000,2023-02-28 17:10:40 +1000,6925.07,6925.07,0.0,2022-12-08 17:10:57 +1000,Y,Nicola Wise,"","",""
20052,ES924168,TYRES 4U,"","",TYRES 4U,2022-12-08 17:11:26 +1000,2023-02-28 17:11:26 +1000,1064.8,1064.8,0.0,2022-12-08 17:11:39 +1000,Y,Nicola Wise,"","",""
20053,ES924106,TYRES 4U,"","",TYRES 4U,2022-12-08 17:12:28 +1000,2023-02-28 17:12:28 +1000,63.8,63.8,0.0,2022-12-08 17:12:42 +1000,Y,Nicola Wise,"","",""
20054,ES924271,TYRES 4U,"","",TYRES 4U,2022-12-08 17:13:43 +1000,2023-02-28 17:13:43 +1000,628.63,628.63,0.0,2022-12-08 17:13:56 +1000,Y,Nicola Wise,"","",""
20055,SO500029,TYRES 4U,"","",TYRES 4U,2022-12-07 11:27:14 +1000,2023-02-28 11:27:14 +1000,3432.0,3432.0,0.0,2022-12-09 11:27:55 +1000,Y,Nicola Wise,"","",""
20056,SO500030,TYRES 4U,"","",TYRES 4U,2022-12-07 11:29:14 +1000,2023-02-28 11:29:14 +1000,2731.03,2731.03,0.0,2022-12-09 11:29:43 +1000,Y,Nicola Wise,"","",""
20057,SI5143,ENIRGI POWER STORAGE PTY LTD,"","",ENIRGI POWER STORAGE PTY LTD,2022-12-08 11:48:33 +1000,2023-01-25 11:48:33 +1000,244.34,244.34,0.0,2022-12-09 11:49:20 +1000,Y,Troy,"","",""
20058,1608938,TOP TYRES AUSTRAILIA PTY LTD,"","",TOP TYRES AUSTRAILIA PTY LTD,2022-12-09 11:55:09 +1000,2022-12-09 11:55:09 +1000,204.6,204.6,0.0,2022-12-09 11:56:19 +1000,Y,Troy,"","",""
20059,SI3557,ENIRGI POWER STORAGE PTY LTD,"","",ENIRGI POWER STORAGE PTY LTD,2022-12-09 13:38:58 +1000,2023-01-25 13:38:58 +1000,643.19,643.19,0.0,2022-12-12 13:39:31 +1000,Y,Troy,"","",""
20060,VS451825,TYRES 4U,"","",TYRES 4U,2022-12-12 13:39:59 +1000,2023-02-28 13:39:59 +1000,5500.0,5500.0,0.0,2022-12-12 13:40:21 +1000,Y,Troy,"","",""
20061,UN2709,Savcom,"","",Savcom,2022-12-12 13:40:53 +1000,2023-01-25 13:40:53 +1000,118.8,118.8,0.0,2022-12-12 13:41:16 +1000,Y,Troy,"","",""
20062,SO500031,TYRES 4U,"","",TYRES 4U,2022-12-12 13:41:55 +1000,2023-02-28 13:41:55 +1000,3256.0,3256.0,0.0,2022-12-12 13:42:20 +1000,Y,Troy,"","",""
20063,ES924688,TYRES 4U,"","",TYRES 4U,2022-12-12 17:18:36 +1000,2023-02-28 17:18:36 +1000,475.2,475.2,0.0,2022-12-12 17:19:02 +1000,Y,Troy,"","",""
20064,ES924477,TYRES 4U,"","",TYRES 4U,2022-12-12 17:20:15 +1000,2023-02-28 17:20:15 +1000,310.2,310.2,0.0,2022-12-12 17:20:37 +1000,Y,Troy,"","",""
20065,ES924475,TYRES 4U,"","",TYRES 4U,2022-12-12 17:21:31 +1000,2023-02-28 17:21:31 +1000,582.91,582.91,0.0,2022-12-12 17:21:53 +1000,Y,Troy,"","",""
20066,ES924524,TYRES 4U,"","",TYRES 4U,2022-12-12 17:23:27 +1000,2023-02-28 17:23:27 +1000,884.4,884.4,0.0,2022-12-12 17:23:57 +1000,Y,Troy,"","",""
20067,3940341602,REPCO Chinchilla,"","",REPCO Chinchilla,2022-12-12 17:26:00 +1000,2023-01-31 17:26:00 +1000,77.82,77.82,0.0,2022-12-12 17:26:36 +1000,Y,Troy,"","",""
20068,1904771,REMA TIP TOP AUSTRALIA PTY LTD,"","",REMA TIP TOP AUSTRALIA PTY LTD,2022-12-12 17:29:45 +1000,2023-01-31 17:29:45 +1000,129.98,129.98,0.0,2022-12-12 17:30:35 +1000,Y,Troy,"","",""
20069,ES923860,TYRES 4U,"","",TYRES 4U,2022-12-08 17:58:52 +1000,2023-02-28 17:58:52 +1000,2750.0,2750.0,0.0,2022-12-12 17:59:19 +1000,Y,Nicola Wise,"","",""
20070,ES923858,TYRES 4U,"","",TYRES 4U,2022-12-08 17:59:42 +1000,2023-02-28 17:59:42 +1000,1686.74,1686.74,0.0,2022-12-12 18:00:12 +1000,Y,Nicola Wise,"","",""
20071,ES923570,TYRES 4U,"","",TYRES 4U,2022-12-08 18:00:34 +1000,2023-02-28 18:00:34 +1000,981.75,981.75,0.0,2022-12-12 18:01:01 +1000,Y,Nicola Wise,"","",""
20072,ES923246,TYRES 4U,"","",TYRES 4U,2022-12-08 18:01:28 +1000,2023-02-28 18:01:28 +1000,1093.95,1093.95,0.0,2022-12-12 18:01:50 +1000,Y,Nicola Wise,"","",""
20073,ES923576,TYRES 4U,"","",TYRES 4U,2022-12-08 18:03:10 +1000,2023-02-28 18:03:10 +1000,1122.0,1122.0,0.0,2022-12-12 18:03:40 +1000,Y,Nicola Wise,"","",""
20074,ES923931,TYRES 4U,"","",TYRES 4U,2022-12-08 18:55:59 +1000,2023-02-28 18:55:59 +1000,757.81,757.81,0.0,2022-12-12 18:56:20 +1000,Y,Nicola Wise,"","",""
20075,1717326,NETA TIRE SERVICE & SALES P/L,"","",NETA TIRE SERVICE & SALES P/L,2022-12-07 15:10:03 +1000,2023-01-31 15:10:03 +1000,814.0,814.0,0.0,2022-12-13 15:10:26 +1000,Y,Nicola Wise,"","",""
20076,SI3530,ENIRGI POWER STORAGE PTY LTD,"","",ENIRGI POWER STORAGE PTY LTD,2022-11-23 18:32:08 +1000,2022-12-25 18:32:08 +1000,161.06,161.06,0.0,2022-12-14 18:32:39 +1000,Y,Nicola Wise,"","",""
20077,SI5156,ENIRGI POWER STORAGE PTY LTD,"","",ENIRGI POWER STORAGE PTY LTD,2022-12-14 19:17:36 +1000,2023-01-25 19:17:36 +1000,282.65,282.65,0.0,2022-12-14 19:18:02 +1000,Y,Troy,"","",""
20078,SI5155,ENIRGI POWER STORAGE PTY LTD,"","",ENIRGI POWER STORAGE PTY LTD,2022-12-14 19:18:55 +1000,2023-01-25 19:18:55 +1000,1527.96,1527.96,0.0,2022-12-14 19:19:14 +1000,Y,Troy,"","",""
20079,ES925404,TYRES 4U,"","",TYRES 4U,2022-12-15 13:20:18 +1000,2023-02-28 13:20:18 +1000,4883.47,4883.47,0.0,2022-12-15 13:20:50 +1000,Y,Nicola Wise,"","",""
20080,ES925103,TYRES 4U,"","",TYRES 4U,2022-12-15 13:22:08 +1000,2023-02-28 13:22:08 +1000,3256.0,3256.0,0.0,2022-12-15 13:22:44 +1000,Y,Nicola Wise,"","",""
20081,ES924944,TYRES 4U,"","",TYRES 4U,2022-12-15 13:24:08 +1000,2023-02-28 13:24:08 +1000,981.75,981.75,0.0,2022-12-15 13:24:37 +1000,Y,Nicola Wise,"","",""
20082,ES924186,TYRES 4U,"","",TYRES 4U,2022-12-15 13:25:28 +1000,2023-02-28 13:25:28 +1000,1101.94,1101.94,0.0,2022-12-15 13:25:52 +1000,Y,Nicola Wise,"","",""
20083,ES925265,TYRES 4U,"","",TYRES 4U,2022-12-16 14:40:04 +1000,2023-02-28 14:40:04 +1000,3786.75,3786.75,0.0,2022-12-16 14:40:48 +1000,Y,Nicola Wise,"","",""
20084,ES925532,TYRES 4U,"","",TYRES 4U,2022-12-16 14:42:12 +1000,2023-02-28 14:42:12 +1000,432.96,432.96,0.0,2022-12-16 14:42:27 +1000,Y,Nicola Wise,"","",""
20085,5408142,TYREMAX,"","",TYREMAX,2022-12-13 14:52:20 +1000,2022-12-13 14:52:20 +1000,1434.4,1434.4,0.0,2022-12-16 14:53:55 +1000,Y,Nicola Wise,"","",""
20087,SO500034,TYRES 4U,"","",TYRES 4U,2022-12-19 10:26:28 +1000,2023-02-28 10:26:28 +1000,605.0,605.0,0.0,2022-12-19 10:26:56 +1000,Y,Nicola Wise,"","",""
20088,00009399,TECHKING AUSTRALIA,"","",TECHKING AUSTRALIA,2022-12-15 10:27:56 +1000,2023-01-31 10:27:56 +1000,2983.2,2983.2,0.0,2022-12-19 10:28:32 +1000,Y,Troy,"","",""
20089,ES925869,TYRES 4U,"","",TYRES 4U,2022-12-19 18:34:06 +1000,2023-02-28 18:34:06 +1000,5445.0,5445.0,0.0,2022-12-19 18:34:35 +1000,Y,Nicola Wise,"","",""
20091,10863216,EXCLUSIVE TYRES,"","",EXCLUSIVE TYRES,2022-12-21 18:06:46 +1000,2023-01-20 18:06:46 +1000,1215.04,1215.04,0.0,2022-12-21 18:07:10 +1000,Y,Troy,"","",""
20092,SO500032,TYRES 4U,"","",TYRES 4U,2022-12-21 08:53:07 +1000,2023-02-28 08:53:07 +1000,3025.0,3025.0,0.0,2022-12-22 08:53:51 +1000,Y,Nicola Wise,"","",""
20093,,REMA TIP TOP AUSTRALIA PTY LTD,"","",REMA TIP TOP AUSTRALIA PTY LTD,2022-12-21 08:59:30 +1000,2023-01-31 08:59:30 +1000,33.0,33.0,0.0,2022-12-22 08:59:45 +1000,Y,Troy,"","",""
20094,ES926036,TYRES 4U,"","",TYRES 4U,2022-12-22 19:36:45 +1000,2023-02-28 19:36:45 +1000,156.2,156.2,0.0,2022-12-22 19:37:04 +1000,Y,Nicola Wise,"","",""
20095,ES926576,TYRES 4U,"","",TYRES 4U,2022-12-22 19:37:28 +1000,2023-02-28 19:37:28 +1000,1825.03,1825.03,0.0,2022-12-22 19:37:43 +1000,Y,Nicola Wise,"","",""
20096,ES926575,TYRES 4U,"","",TYRES 4U,2022-12-22 19:38:04 +1000,2023-02-28 19:38:04 +1000,1999.8,1999.8,0.0,2022-12-22 19:38:20 +1000,Y,Nicola Wise,"","",""
20097,ES926933,TYRES 4U,"","",TYRES 4U,2022-12-29 09:36:31 +1000,2023-02-28 09:36:31 +1000,3384.61,3384.61,0.0,2023-01-03 09:37:06 +1000,Y,Troy,"","",""
20098,ES926932,TYRES 4U,"","",TYRES 4U,2022-12-29 09:37:57 +1000,2023-02-28 09:37:57 +1000,2738.2,2738.2,0.0,2023-01-03 09:38:17 +1000,Y,Nicola Wise,"","",""
20099,ES926818,TYRES 4U,"","",TYRES 4U,2022-12-29 09:41:02 +1000,2023-02-28 09:41:02 +1000,3655.39,3655.39,0.0,2023-01-03 09:41:31 +1000,Y,Nicola Wise,"","",""
20100,ES926766,TYRES 4U,"","",TYRES 4U,2023-01-03 14:40:49 +1000,2023-03-31 14:40:49 +1000,1379.4,1379.4,0.0,2023-01-03 14:41:14 +1000,Y,Nicola Wise,"","",""
20101,SO500037,TYRES 4U,"","",TYRES 4U,2023-01-03 18:03:16 +1000,2023-03-31 18:03:16 +1000,3795.0,3795.0,0.0,2023-01-03 18:03:38 +1000,Y,Nicola Wise,"","",""
20102,10863515,EXCLUSIVE TYRES,"","",EXCLUSIVE TYRES,2023-01-04 13:48:45 +1000,2023-02-28 13:48:45 +1000,4402.73,4402.73,0.0,2023-01-04 13:49:11 +1000,Y,Troy,"","",""
20103,1908750,REMA TIP TOP AUSTRALIA PTY LTD,"","",REMA TIP TOP AUSTRALIA PTY LTD,2022-12-23 09:05:12 +1000,2023-01-31 09:05:12 +1000,2555.41,2555.41,0.0,2023-01-05 09:06:37 +1000,Y,Troy,"","",""
20104,ES927667,TYRES 4U,"","",TYRES 4U,2023-01-05 09:20:29 +1000,2023-03-31 09:20:29 +1000,757.57,757.57,0.0,2023-01-05 09:20:53 +1000,Y,Troy,"","",""
20105,ES927666,TYRES 4U,"","",TYRES 4U,2023-01-05 09:22:02 +1000,2023-03-31 09:22:02 +1000,1324.58,1324.58,0.0,2023-01-05 09:22:24 +1000,Y,Troy,"","",""
20106,ES927664,TYRES 4U,"","",TYRES 4U,2023-01-05 09:23:43 +1000,2023-03-31 09:23:43 +1000,2224.29,2224.29,0.0,2023-01-05 09:24:04 +1000,Y,Troy,"","",""
20107,ES927665,TYRES 4U,"","",TYRES 4U,2023-01-05 09:24:25 +1000,2023-03-31 09:24:25 +1000,1703.68,1703.68,0.0,2023-01-05 09:26:33 +1000,Y,Troy,"","",""
20108,ES927668,TYRES 4U,"","",TYRES 4U,2023-01-05 09:26:53 +1000,2023-03-31 09:26:53 +1000,96.6,96.6,0.0,2023-01-05 09:27:11 +1000,Y,Troy,"","",""
20109,ES927669,TYRES 4U,"","",TYRES 4U,2023-01-05 09:28:35 +1000,2023-03-31 09:28:35 +1000,726.33,726.33,0.0,2023-01-05 09:28:55 +1000,Y,Troy,"","",""
20110,ES927670,TYRES 4U,"","",TYRES 4U,2023-01-05 09:30:20 +1000,2023-03-31 09:30:20 +1000,1822.21,1822.21,0.0,2023-01-05 09:30:38 +1000,Y,Troy,"","",""
20111,9284943,TYRES 4U,"","",TYRES 4U,2023-01-05 09:31:03 +1000,2023-03-31 09:31:03 +1000,84.48,84.48,0.0,2023-01-05 09:31:21 +1000,Y,Troy,"","",""
20112,3940343873,REPCO AUTO PARTS,"","",REPCO AUTO PARTS,2023-01-05 10:31:18 +1000,2023-02-28 10:31:18 +1000,34.38,34.38,0.0,2023-01-06 10:31:58 +1000,Y,Troy,"","",""
20113,ES927366,TYRES 4U,"","",TYRES 4U,2023-01-05 10:33:39 +1000,2023-03-31 10:33:39 +1000,1210.0,1210.0,0.0,2023-01-06 10:34:09 +1000,Y,Nicola Wise,"","",""
20114,ES927101,TYRES 4U,"","",TYRES 4U,2023-01-05 10:34:47 +1000,2023-03-31 10:34:47 +1000,308.0,308.0,0.0,2023-01-06 10:35:07 +1000,Y,Nicola Wise,"","",""
20115,ES927628,TYRES 4U,"","",TYRES 4U,2023-01-05 10:35:44 +1000,2023-03-31 10:35:44 +1000,1416.14,1416.14,0.0,2023-01-06 10:36:02 +1000,Y,Nicola Wise,"","",""
20116,SI5190,ENIRGI POWER STORAGE PTY LTD,"","",ENIRGI POWER STORAGE PTY LTD,2023-01-05 10:37:26 +1000,2023-02-25 10:37:26 +1000,1534.08,1534.08,0.0,2023-01-06 10:38:30 +1000,Y,Troy,"","",""
20117,ES927480,TYRES 4U,"","",TYRES 4U,2023-01-05 10:40:47 +1000,2023-03-31 10:40:47 +1000,2247.3,2247.3,0.0,2023-01-06 10:41:12 +1000,Y,Nicola Wise,"","",""
20119,ES927925,TYRES 4U,"","",TYRES 4U,2023-01-06 17:19:38 +1000,2023-03-31 17:19:38 +1000,465.3,465.3,0.0,2023-01-06 17:19:59 +1000,Y,Nicola Wise,"","",""
20120,SO500039,TYRES 4U,"","",TYRES 4U,2023-01-06 17:20:39 +1000,2023-03-31 17:20:39 +1000,3634.4,3634.4,0.0,2023-01-06 17:20:56 +1000,Y,Nicola Wise,"","",""
20121,UN2747,Savcom,"","",Savcom,2023-01-09 16:17:53 +1000,2023-02-25 16:17:53 +1000,500.06,500.06,0.0,2023-01-09 16:19:09 +1000,Y,Troy,"","",""
20122,3940344279,REPCO Chinchilla,"","",REPCO Chinchilla,2023-01-09 16:23:06 +1000,2023-02-28 16:23:06 +1000,7.43,7.43,0.0,2023-01-09 16:23:33 +1000,Y,Troy,"","",""
20123,SO500040,TYRES 4U,"","",TYRES 4U,2023-01-09 16:25:49 +1000,2023-03-31 16:25:49 +1000,6021.4,6021.4,0.0,2023-01-09 16:26:08 +1000,Y,Nicola Wise,"","",""
20124,ES927944,TYRES 4U,"","",TYRES 4U,2023-01-09 16:26:35 +1000,2023-03-31 16:26:35 +1000,1817.2,1817.2,0.0,2023-01-09 16:26:49 +1000,Y,Nicola Wise,"","",""
20125,ES924931,TYRES 4U,"","",TYRES 4U,2022-12-13 13:30:52 +1000,2023-02-28 13:30:52 +1000,123.2,123.2,0.0,2023-01-10 13:31:22 +1000,Y,Nicola Wise,"","",""
20126,SO500042,TYRES 4U,"","",TYRES 4U,2023-01-10 15:18:41 +1000,2023-03-31 15:18:41 +1000,1093.95,1093.95,0.0,2023-01-10 15:19:00 +1000,Y,Nicola Wise,"","",""
20128,10863753,EXCLUSIVE TYRES,"","",EXCLUSIVE TYRES,2023-01-10 15:20:52 +1000,2023-02-28 15:20:52 +1000,1138.1,1138.1,0.0,2023-01-10 15:21:13 +1000,Y,Troy,"","",""
